( passenger, driver )
( 2577, 3881)
( 1787, 3881)
( 2583, 116)
( 1783, 3881)
( 2585, 3881)
( 2586, 116)
( 1682, 3881)
( 2695, 3881)
( 2696, 3881)
( 1674, 3881)
( 2703, 3881)
( 1671, 3881)
( 2708, 116)
( 2718, 3881)
( 2723, 116)
( 2724, 116)
( 2725, 3881)
( 2727, 3881)
( 1646, 116)
( 2662, 1519)
( 2632, 3881)
( 2634, 116)
( 2637, 3881)
( 2638, 3881)
( 2643, 3881)
( 2649, 3881)
( 2652, 116)
( 2657, 116)
( 2661, 3881)
( 5000, 116)
( 1707, 3881)
( 2669, 3881)
( 1702, 3881)
( 2676, 3881)
( 2682, 116)
( 2687, 3881)
( 1687, 3881)
( 1686, 3881)
( 190, 429)
( 4224, 3881)
( 4219, 3881)
( 511, 645)
( 199, 429)
( 4708, 116)
( 4211, 116)
( 518, 645)
( 519, 645)
( 4209, 116)
( 4710, 3881)
( 193, 429)
( 4204, 116)
( 4201, 116)
( 527, 645)
( 528, 645)
( 4702, 3881)
( 189, 429)
( 187, 429)
( 4192, 3881)
( 183, 429)
( 4726, 3881)
( 4179, 3881)
( 179, 429)
( 541, 645)
( 4729, 3881)
( 4177, 3881)
( 4732, 116)
( 4733, 116)
( 4172, 116)
( 548, 645)
( 4256, 116)
( 4668, 3881)
( 224, 429)
( 4280, 3881)
( 4277, 116)
( 4274, 116)
( 4674, 116)
( 475, 645)
( 4271, 3881)
( 4269, 3881)
( 4678, 116)
( 479, 645)
( 219, 429)
( 218, 429)
( 217, 429)
( 4263, 116)
( 4736, 3881)
( 4255, 4586)
( 4252, 4508)
( 4684, 116)
( 211, 429)
( 4247, 3881)
( 209, 429)
( 4689, 116)
( 4691, 116)
( 4235, 116)
( 4234, 4586)
( 4232, 116)
( 4230, 3881)
( 4229, 3881)
( 4228, 116)
( 4782, 116)
( 4785, 3881)
( 4101, 3881)
( 4786, 116)
( 4100, 116)
( 4087, 116)
( 4086, 116)
( 4085, 3881)
( 602, 1695)
( 603, 645)
( 4077, 116)
( 608, 645)
( 4797, 3881)
( 4070, 116)
( 4781, 116)
( 125, 2032)
( 4061, 3881)
( 4059, 3881)
( 4819, 3881)
( 619, 1695)
( 4822, 116)
( 4825, 116)
( 4826, 3881)
( 622, 645)
( 623, 645)
( 624, 645)
( 626, 645)
( 627, 645)
( 4836, 3881)
( 4137, 3881)
( 4167, 116)
( 4737, 3881)
( 552, 645)
( 554, 645)
( 4161, 3881)
( 4744, 116)
( 558, 429)
( 560, 645)
( 4150, 3881)
( 4142, 3881)
( 4141, 116)
( 4761, 3881)
( 571, 645)
( 572, 429)
( 4287, 3881)
( 4133, 3881)
( 4764, 3881)
( 4129, 116)
( 4768, 116)
( 4128, 116)
( 4772, 116)
( 4119, 3881)
( 4774, 116)
( 150, 429)
( 4776, 3881)
( 148, 2032)
( 4111, 3881)
( 4108, 3881)
( 4107, 3881)
( 4550, 116)
( 4450, 3881)
( 307, 645)
( 4446, 116)
( 4444, 3881)
( 362, 645)
( 4540, 3881)
( 4442, 3881)
( 4441, 3881)
( 4440, 3881)
( 4543, 116)
( 4547, 116)
( 4436, 3881)
( 4435, 3881)
( 4434, 3881)
( 4548, 116)
( 4451, 116)
( 373, 645)
( 4432, 3881)
( 4431, 116)
( 4428, 116)
( 4424, 116)
( 4422, 116)
( 4420, 116)
( 4417, 116)
( 293, 429)
( 4557, 116)
( 4558, 116)
( 4565, 116)
( 286, 429)
( 285, 429)
( 4476, 116)
( 4512, 3881)
( 4511, 116)
( 4506, 3881)
( 326, 645)
( 321, 645)
( 4499, 116)
( 4498, 116)
( 4494, 116)
( 4493, 116)
( 4491, 116)
