( passenger, driver )
( 1115, 1697)
( 1120, -1)
( 1124, -1)
( 1129, 276)
( 1131, -1)
( 1132, 2035)
( 1133, 1931)
( 1135, -1)
( 1139, -1)
( 1140, -1)
( 1141, 1796)
( 1142, 2053)
( 1144, 489)
( 1151, 660)
( 1155, 1722)
( 1156, 2678)
( 1158, 4)
( 1159, -1)
( 1162, 2089)
( 1164, 1338)
( 1168, -1)
( 1171, -1)
( 1179, -1)
( 1180, 2600)
( 1184, -1)
( 1185, 2565)
( 1187, -1)
( 1188, -1)
( 1189, 780)
( 1191, -1)
( 1194, 1642)
( 1195, -1)
( 1196, 2663)
( 1197, -1)
( 1198, -1)
( 1199, -1)
( 1206, -1)
( 1214, -1)
( 1221, -1)
( 1222, 2197)
( 1224, -1)
( 1225, 686)
( 1226, -1)
( 1227, 2206)
( 1230, -1)
( 1234, -1)
( 1236, 2134)
( 1238, 629)
( 1240, -1)
( 1241, 2866)
( 1243, -1)
( 1244, 376)
( 1245, 2736)
( 1248, -1)
( 1249, -1)
( 1250, -1)
( 1252, 2251)
( 1253, 2929)
( 1254, 981)
( 1258, -1)
( 1261, 2165)
( 1262, 2269)
( 1264, 2533)
( 1265, -1)
( 1267, -1)
( 1269, -1)
( 1270, 2128)
( 1273, 691)
( 1274, 2318)
( 1275, -1)
( 1278, -1)
( 1280, -1)
( 1283, -1)
( 1287, 2314)
( 1290, 2612)
( 1291, 125)
( 1292, 2419)
( 1294, 1749)
( 1295, 870)
( 1296, -1)
( 1300, 2740)
( 1301, -1)
( 1308, -1)
( 1310, -1)
( 1311, -1)
( 1315, -1)
( 1317, 2368)
( 1319, -1)
( 1320, -1)
( 1321, -1)
( 1322, 2377)
( 1323, -1)
( 1325, -1)
( 1326, 440)
( 1328, -1)
( 1333, -1)
( 1334, 2765)
( 1337, -1)
( 1338, 737)
( 1341, -1)
( 1342, 2413)
( 1345, -1)
( 1349, 1965)
( 1354, 14)
( 1355, 1480)
( 1360, 2976)
( 1361, 1146)
( 1365, 2344)
( 1368, -1)
( 1369, 2795)
( 1371, -1)
( 1373, 2192)
( 1375, 315)
( 1376, -1)
( 1377, 2554)
( 1378, -1)
( 1379, 2599)
( 1380, -1)
( 1382, 2485)
( 1383, 135)
( 1387, 2494)
( 1392, 2503)
( 1395, 89)
( 1400, 904)
( 1401, 1949)
( 1402, 2521)
( 1403, -1)
( 1404, -1)
( 1407, 2530)
( 1408, -1)
( 1410, 113)
( 1419, 1692)
( 1420, -1)
( 1423, 1443)
( 1424, -1)
( 1426, -1)
( 1427, 2566)
( 1430, 796)
( 1433, 972)
( 1438, 843)
( 1439, -1)
( 1440, 147)
( 1442, 2593)
( 1443, 24)
( 1444, -1)
( 1445, -1)
( 1447, -1)
( 1448, -1)
( 1449, 1473)
( 1451, -1)
( 1452, 2611)
( 1453, 2480)
( 1455, -1)
( 1459, 353)
( 1462, 2629)
( 1464, 1887)
( 1466, -1)
( 1469, 1946)
( 1470, -1)
( 1471, -1)
( 1472, -1)
( 1473, 1229)
( 1474, 2342)
( 1476, 61)
( 1478, -1)
( 1479, 1284)
( 1480, 60)
( 1482, 2665)
( 1484, 2791)
( 1487, 2674)
( 1488, 1860)
( 1492, 2683)
( 1493, -1)
( 1494, -1)
( 1497, 2692)
( 1503, -1)
( 1506, 884)
( 1507, 2710)
( 1511, -1)
( 1513, 638)
( 1514, -1)
( 1515, -1)
( 1517, -1)
( 1519, 1439)
( 1520, -1)
( 1522, 2737)
( 1523, -1)
( 1526, -1)
( 1529, 76)
( 1530, -1)
( 1531, -1)
( 1533, -1)
( 1534, -1)
( 1535, -1)
( 1536, 2187)
( 1541, -1)
( 1542, 2773)
( 1548, 1177)
( 1555, -1)
( 1557, 2800)
( 1558, 2869)
( 1566, -1)
( 1569, -1)
( 1572, 2827)
( 1576, 2231)
( 1577, 2836)
( 1578, -1)
( 1583, -1)
( 1585, 531)
( 1590, -1)
( 1591, 1911)
( 1594, -1)
( 1597, 2872)
( 1598, -1)
( 1601, 632)
( 1602, -1)
( 1604, -1)
( 1605, -1)
( 1608, -1)
( 1613, -1)
( 1614, 1492)
( 1615, 1907)
( 1616, -1)
( 1617, 2908)
( 1627, 2926)
( 1629, -1)
( 1630, -1)
( 1631, 2415)
( 1632, 2935)
( 1633, -1)
( 1636, -1)
( 1639, 974)
( 1641, -1)
( 1645, 2724)
( 1646, 2081)
( 1649, 1426)
( 1650, -1)
( 1651, -1)
( 1652, 2971)
( 1656, -1)
( 1657, 2980)
( 1661, 1724)
( 1662, 2989)
( 1664, 2378)
( 1665, 273)
( 1666, -1)
( 1668, 2405)
( 1670, 1253)
( 1671, -1)
( 1672, -1)
( 1673, -1)
( 1675, -1)
( 1678, 79)
( 1685, -1)
( 1691, -1)
( 1694, -1)
( 1699, 1897)
( 1700, 1205)
( 1701, 1901)
( 1702, -1)
( 1705, 274)
( 1711, -1)
( 1712, 2858)
( 1713, -1)
( 1714, -1)
( 1718, -1)
( 1719, -1)
( 1722, 1597)
( 1725, 2159)
( 1726, -1)
( 1729, 1766)
( 1736, 2602)
( 1737, -1)
( 1741, -1)
( 1743, -1)
( 1745, -1)
( 1747, -1)
( 1748, 855)
( 1749, -1)
( 1751, -1)
( 1753, 608)
( 1755, -1)
( 1756, 348)
( 1761, 327)
( 1763, 1073)
( 1764, -1)
( 1767, -1)
( 1768, 1960)
( 1769, 1850)
( 1770, 139)
( 1773, 1389)
( 1774, 447)
( 1775, 997)
( 1776, 1093)
( 1778, -1)
( 1779, -1)
( 1780, 2560)
( 1781, -1)
( 1783, -1)
( 1786, 2186)
( 1788, -1)
( 1792, 1844)
( 1794, -1)
( 1795, 1476)
( 1796, -1)
( 1799, -1)
( 1804, 1906)
( 1808, 2860)
( 1811, 2697)
( 1812, -1)
( 1815, -1)
( 1820, 448)
( 1821, 2279)
( 1822, -1)
( 1823, -1)
( 1825, -1)
( 1826, -1)
( 1829, -1)
( 1831, -1)
( 1832, 2774)
( 1833, 1666)
( 1834, 2057)
( 1835, 2828)
( 1836, -1)
( 1837, -1)
( 1838, 256)
( 1840, -1)
( 1841, -1)
( 1842, -1)
( 1843, 1030)
( 1847, -1)
( 1852, 702)
( 1854, 238)
( 1855, -1)
( 1857, -1)
( 1860, 2025)
( 1862, 72)
( 1868, -1)
( 1870, 2447)
( 1871, -1)
( 1872, -1)
( 1874, 1242)
( 1877, 2706)
( 1878, 2868)
( 1879, 1982)
( 1883, 255)
( 1886, 1970)
( 1887, -1)
( 1891, -1)
( 1892, -1)
( 1894, -1)
( 1895, 2459)
( 1896, -1)
( 1900, 1571)
( 1902, 170)
( 1904, -1)
( 1908, 1390)
( 1910, -1)
( 1911, -1)
( 1912, 2078)
( 1915, 18)
( 1916, 380)
( 1917, -1)
( 1919, -1)
( 1920, -1)
( 1921, 672)
( 1922, -1)
( 1924, -1)
( 1927, 1179)
( 1929, -1)
( 1932, -1)
( 1934, 1052)
( 1935, 1513)
( 1936, 1608)
( 1937, -1)
( 1939, -1)
( 1941, -1)
( 1944, -1)
( 1945, -1)
( 1947, -1)
( 1949, 2449)
( 1950, 267)
( 1953, -1)
( 1954, 2518)
( 1955, -1)
( 1956, 2777)
( 1958, -1)
( 1959, -1)
( 1963, 1541)
( 1964, -1)
( 1965, -1)
( 1971, -1)
( 1972, -1)
( 1973, -1)
( 1975, -1)
( 1980, 1042)
( 1981, 216)
( 1983, -1)
( 1984, 2604)
( 1985, 2468)
( 1986, -1)
( 1990, -1)
( 1991, 2133)
( 1993, -1)
( 1996, -1)
( 1999, -1)
( 2000, -1)
( 2001, 838)
( 2002, 1350)
( 2004, 2114)
( 2005, 1488)
( 2007, -1)
( 2008, 2964)
( 2010, -1)
( 2011, -1)
( 2016, 1645)
( 2020, 1672)
( 2021, -1)
( 2023, -1)
( 2024, 2117)
( 2026, -1)
( 2027, -1)
( 2028, -1)
( 2033, -1)
( 2035, 359)
( 2036, 611)
( 2037, -1)
( 2040, -1)
( 2042, -1)
( 2044, 1898)
( 2047, -1)
( 2049, -1)
( 2052, -1)
( 2055, -1)
( 2061, 1451)
( 2066, 647)
( 2070, -1)
( 2072, 1034)
( 2073, 2152)
( 2074, 1607)
( 2075, 150)
( 2077, -1)
( 2078, 450)
( 2080, 2000)
( 2081, -1)
( 2084, 101)
( 2088, 227)
( 2089, -1)
( 2090, 1066)
( 2096, -1)
( 2097, 1885)
( 2098, 1732)
( 2099, -1)
( 2102, 2990)
( 2103, -1)
( 2105, 1815)
( 2106, -1)
( 2112, 1977)
( 2114, -1)
( 2115, 226)
( 2118, -1)
( 2119, -1)
( 2120, 1304)
( 2122, 2334)
( 2123, -1)
( 2125, -1)
( 2126, -1)
( 2127, 1703)
( 2130, 785)
( 2131, -1)
( 2133, -1)
( 2134, -1)
( 2135, 1114)
( 2136, -1)
( 2138, -1)
( 2141, 1520)
( 2142, -1)
( 2144, -1)
( 2145, -1)
( 2147, -1)
( 2148, 2369)
( 2149, -1)
( 2155, -1)
( 2158, -1)
( 2160, -1)
( 2161, 652)
( 2162, -1)
( 2163, 681)
( 2164, -1)
( 2168, -1)
( 2171, -1)
( 2183, -1)
